:Data_list: 20161018_ace_swepam_1m.txt
:Created: 2016 Oct 19 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2016 10 18  0000   57679       0    0        1.1      691.5     2.56e+05
2016 10 18  0001   57679      60    1        1.5      693.1     2.72e+05
2016 10 18  0002   57679     120    0        1.2      689.5     2.42e+05
2016 10 18  0003   57679     180    0        1.3      692.7     2.70e+05
2016 10 18  0004   57679     240    0        1.2      698.0     2.72e+05
2016 10 18  0005   57679     300    0        1.2      696.4     2.49e+05
2016 10 18  0006   57679     360    0        1.2      692.0     2.49e+05
2016 10 18  0007   57679     420    0        1.2      689.8     2.46e+05
2016 10 18  0008   57679     480    0        1.2      688.6     2.44e+05
2016 10 18  0009   57679     540    0        1.3      687.2     2.38e+05
2016 10 18  0010   57679     600    0        1.3      691.0     2.30e+05
2016 10 18  0011   57679     660    0        1.2      695.0     2.24e+05
2016 10 18  0012   57679     720    1        1.4      689.0     2.09e+05
2016 10 18  0013   57679     780    0        1.3      689.3     2.15e+05
2016 10 18  0014   57679     840    0        1.2      691.5     2.19e+05
2016 10 18  0015   57679     900    0        1.3      686.7     1.92e+05
2016 10 18  0016   57679     960    1        1.6      689.8     2.23e+05
2016 10 18  0017   57679    1020    1        1.4      696.1     2.19e+05
2016 10 18  0018   57679    1080    1        1.4      691.5     2.38e+05
2016 10 18  0019   57679    1140    0        1.5      692.2     2.15e+05
2016 10 18  0020   57679    1200    0        1.6      693.8     2.15e+05
2016 10 18  0021   57679    1260    0        1.4      694.3     1.92e+05
2016 10 18  0022   57679    1320    0        1.1      692.6     2.12e+05
2016 10 18  0023   57679    1380    0        1.2      689.8     2.18e+05
2016 10 18  0024   57679    1440    0        1.1      686.3     2.13e+05
2016 10 18  0025   57679    1500    0        1.1      690.4     2.37e+05
2016 10 18  0026   57679    1560    0        1.2      693.0     2.45e+05
2016 10 18  0027   57679    1620    0        1.3      695.6     2.21e+05
2016 10 18  0028   57679    1680    0        1.3      713.6     2.27e+05
2016 10 18  0029   57679    1740    0        1.2      685.1     2.30e+05
2016 10 18  0030   57679    1800    0        1.2      686.1     2.31e+05
2016 10 18  0031   57679    1860    0        1.4      692.1     2.41e+05
2016 10 18  0032   57679    1920    0        1.4      685.5     2.34e+05
2016 10 18  0033   57679    1980    0        1.3      684.5     2.34e+05
2016 10 18  0034   57679    2040    0        1.2      694.1     2.22e+05
2016 10 18  0035   57679    2100    0        1.2      699.4     2.16e+05
2016 10 18  0036   57679    2160    0        1.3      696.1     2.44e+05
2016 10 18  0037   57679    2220    0        1.5      689.1     2.42e+05
2016 10 18  0038   57679    2280    0        1.5      688.0     2.38e+05
2016 10 18  0039   57679    2340    0        1.6      692.3     2.31e+05
2016 10 18  0040   57679    2400    0        1.6      689.3     2.18e+05
2016 10 18  0041   57679    2460    0        1.4      686.7     2.17e+05
2016 10 18  0042   57679    2520    0        1.3      688.8     2.31e+05
2016 10 18  0043   57679    2580    0        1.3      687.7     2.41e+05
2016 10 18  0044   57679    2640    0        1.3      686.8     2.39e+05
2016 10 18  0045   57679    2700    0        1.5      689.2     2.28e+05
2016 10 18  0046   57679    2760    0        1.3      687.5     2.04e+05
2016 10 18  0047   57679    2820    0        1.3      676.1     1.84e+05
2016 10 18  0048   57679    2880    1        1.0      684.3     2.38e+05
2016 10 18  0049   57679    2940    0        1.1      679.2     2.79e+05
2016 10 18  0050   57679    3000    0        1.1      679.4     2.61e+05
2016 10 18  0051   57679    3060    0        1.2      685.1     2.29e+05
2016 10 18  0052   57679    3120    0        1.3      686.4     2.06e+05
2016 10 18  0053   57679    3180    0        1.4      679.2     2.03e+05
2016 10 18  0054   57679    3240    0        1.2      683.3     2.26e+05
2016 10 18  0055   57679    3300    0        1.3      683.2     2.04e+05
2016 10 18  0056   57679    3360    0        1.3      681.3     1.87e+05
2016 10 18  0057   57679    3420    0        1.1      683.1     1.99e+05
2016 10 18  0058   57679    3480    0        1.1      683.1     2.03e+05
2016 10 18  0059   57679    3540    0        1.2      681.0     2.07e+05
2016 10 18  0100   57679    3600    0        1.4      680.5     2.35e+05
2016 10 18  0101   57679    3660    0        1.1      677.5     2.46e+05
2016 10 18  0102   57679    3720    0        1.0      707.3     2.05e+05
2016 10 18  0103   57679    3780    0        1.1      706.1     2.07e+05
2016 10 18  0104   57679    3840    0        1.1      689.2     2.42e+05
2016 10 18  0105   57679    3900    0        1.2      687.7     2.52e+05
2016 10 18  0106   57679    3960    0        1.2      700.6     1.63e+05
2016 10 18  0107   57679    4020    0        1.2      697.8     1.88e+05
2016 10 18  0108   57679    4080    0        1.3      692.7     2.00e+05
2016 10 18  0109   57679    4140    0        1.4      695.4     2.13e+05
2016 10 18  0110   57679    4200    0        1.2      695.8     2.30e+05
2016 10 18  0111   57679    4260    0        1.2      691.4     2.43e+05
2016 10 18  0112   57679    4320    0        1.2      689.1     2.13e+05
2016 10 18  0113   57679    4380    0        1.1      684.4     2.38e+05
2016 10 18  0114   57679    4440    0        1.0      679.9     2.96e+05
2016 10 18  0115   57679    4500    0        1.0      681.3     2.79e+05
2016 10 18  0116   57679    4560    0        1.2      681.8     2.58e+05
2016 10 18  0117   57679    4620    0        1.1      685.6     2.58e+05
2016 10 18  0118   57679    4680    0        1.1      690.2     2.41e+05
2016 10 18  0119   57679    4740    0        1.3      683.6     1.82e+05
2016 10 18  0120   57679    4800    0        1.1      683.8     2.51e+05
2016 10 18  0121   57679    4860    0        1.1      691.6     2.56e+05
2016 10 18  0122   57679    4920    0        1.1      686.9     2.25e+05
2016 10 18  0123   57679    4980    0        1.2      692.8     2.02e+05
2016 10 18  0124   57679    5040    0        1.1      687.9     2.12e+05
2016 10 18  0125   57679    5100    0        1.1      685.9     1.95e+05
2016 10 18  0126   57679    5160    0        1.2      683.6     1.90e+05
2016 10 18  0127   57679    5220    0        1.2      686.1     1.89e+05
2016 10 18  0128   57679    5280    0        1.3      679.6     1.94e+05
2016 10 18  0129   57679    5340    0        1.3      673.5     1.97e+05
2016 10 18  0130   57679    5400    0        1.3      675.3     1.99e+05
2016 10 18  0131   57679    5460    0        1.2      679.1     1.90e+05
2016 10 18  0132   57679    5520    0        1.2      686.2     1.61e+05
2016 10 18  0133   57679    5580    0        1.3      683.2     1.76e+05
2016 10 18  0134   57679    5640    0        1.3      677.4     2.05e+05
2016 10 18  0135   57679    5700    0        1.0      685.4     1.96e+05
